token,label
In,O
this,O
article,O
we,O
discuss,O
several,O
metrics,B
of,I
coherence,I
defined,O
using,O
centering,B
theory,I
and,O
investigate,O
the,O
usefulness,O
of,O
such,O
metrics,B
for,O
information,O
ordering,O
in,O
automatic,B
text,I
generation,I
.,O
We,O
estimate,O
empirically,O
which,O
is,O
the,O
most,O
promising,O
metric,B
and,O
how,O
useful,O
this,O
metric,B
is,O
using,O
a,O
general,O
methodology,O
applied,O
on,O
several,O
corpora,B
.,O
Our,O
main,O
result,O
is,O
that,O
the,O
simplest,O
metric,O
(,O
which,O
relies,O
exclusively,O
on,O
NOCB,B
transitions,I
),O
sets,O
a,O
robust,O
baseline,B
that,O
cannot,O
be,O
outperformed,O
by,O
other,O
metrics,B
which,O
make,O
use,O
of,O
additional,O
centering,B
based,I
features,I
.,O
This,O
baseline,O
can,O
be,O
used,O
for,O
the,O
development,O
of,O
both,O
text,B
to,I
text,I
and,O
concept,B
to,I
text,I
generation,I
systems,I
Current,O
machine,B
translation,I
(,O
MT,B
),O
systems,O
are,O
still,O
not,O
perfect,O
.,O
In,O
practice,O
",",O
the,O
output,B
from,O
these,O
systems,O
needs,O
to,O
be,O
edited,O
to,O
correct,O
errors,B
.,O
A,O
way,O
of,O
increasing,O
the,O
productivity,O
of,O
the,O
whole,O
translation,B
process,I
(,O
MT,B
plus,O
human,O
work,O
),O
is,O
to,O
incorporate,O
the,O
human,O
correction,O
activities,O
within,O
the,O
translation,B
process,I
itself,O
",",O
thereby,O
shifting,B
the,O
MT,B
paradigm,I
to,O
that,O
of,O
computer,B
assisted,I
translation,I
.,O
This,O
model,B
entails,O
an,O
iterative,B
process,I
in,O
which,O
the,O
human,B
translator,I
activity,I
is,O
included,O
in,O
the,O
loop,O
:,O
In,O
each,O
iteration,B
",",O
a,O
prefix,B
of,O
the,O
translation,O
is,O
validated,B
(,O
accepted,B
or,O
amended,B
),O
by,O
the,O
human,O
and,O
the,O
system,O
computes,O
its,O
best,O
(,O
or,O
n,O
best,O
),O
translation,B
suffix,I
hypothesis,I
to,O
complete,O
this,O
prefix,B
.,O
A,O
successful,O
framework,B
for,O
MT,B
is,O
the,O
so,O
called,O
statistical,O
(,O
or,O
pattern,O
recognition,O
),O
framework,B
.,O
Interestingly,O
",",O
within,O
this,O
framework,B
",",O
the,O
adaptation,O
of,O
MT,B
systems,I
to,O
the,O
interactive,O
scenario,O
affects,O
mainly,O
the,O
search,O
process,O
",",O
allowing,O
a,O
great,O
reuse,O
of,O
successful,O
techniques,I
and,O
models,B
.,O
In,O
this,O
article,O
",",O
alignment,B
templates,I
",",O
phrase,B
based,I
models,I
",",O
and,O
stochastic,B
finite,I
state,I
transducers,I
are,O
used,O
to,O
develop,O
computer,B
assisted,I
translation,I
systems,I
.,O
These,O
systems,O
were,O
assessed,O
in,O
a,O
European,O
project,O
(,O
Trans,B
Type2,I
),O
in,O
two,O
real,O
tasks,O
:,O
The,O
translation,O
of,O
printer,O
manuals,O
;,O
manuals,O
and,O
the,O
translation,O
of,O
the,O
Bulletin,O
of,O
the,O
European,O
Union,O
.,O
In,O
each,O
task,O
",",O
the,O
following,O
three,O
pairs,O
of,O
languages,O
were,O
involved,O
(,O
in,O
both,O
translation,O
directions,O
),O
:,O
English,O
Spanish,O
",",O
English,O
German,O
",",O
and,O
English,O
French,O
.,O
Given,O
a,O
constraint,B
set,I
with,O
k,O
constraints,B
in,O
the,O
framework,B
of,I
Optimality,I
Theory,I
(,O
OT,B
),O
",",O
what,O
is,O
its,O
capacity,O
as,O
a,O
classification,B
scheme,I
for,O
linguistic,B
data,I
?,O
One,O
useful,O
measure,B
of,O
this,O
capacity,O
is,O
the,O
size,O
of,O
the,O
largest,O
data,O
set,O
of,O
which,O
each,O
subset,B
is,O
consistent,O
with,O
a,O
different,O
grammar,B
hypothesis,I
.,O
This,O
measure,B
is,O
known,O
as,O
the,O
Vapnik,B
Chervonenkis,I
dimension,I
(,O
VCD,B
),O
and,O
is,O
a,O
standard,O
complexity,B
measure,I
for,O
concept,B
classes,I
in,O
computational,B
learnability,I
theory,I
.,O
In,O
this,O
work,O
",",O
I,O
use,O
the,O
three,B
valued,I
logic,I
of,I
Elementary,I
Ranking,I
Conditions,I
to,O
show,O
that,O
the,O
VCD,B
of,O
Optimality,B
Theory,I
with,O
k,O
constraints,B
is,O
k,O
1,O
.,O
Analysis,O
of,O
OT,B
in,O
terms,O
of,O
the,O
VCD,B
establishes,O
that,O
the,O
complexity,O
of,O
OT,B
is,O
a,O
well,B
behaved,I
function,I
of,O
k,B
and,O
that,O
the,O
â,O
hardness,O
â,O
of,O
learning,O
in,O
OT,B
is,O
linear,B
in,O
k,O
for,O
a,O
variety,O
of,O
frameworks,B
that,O
employ,O
probabilistic,B
definitions,I
of,O
learnability,B
.,O
The,O
article,O
describes,O
a,O
pilot,O
implementation,O
of,O
a,O
grammar,B
containing,O
different,O
types,O
of,O
locative,B
PPs,I
.,O
In,O
particular,O
",",O
we,O
investigate,O
the,O
distinction,O
between,O
static,B
and,O
directional,B
locatives,I
",",O
and,O
between,O
different,O
types,O
of,O
directional,B
locatives,I
.,O
Locatives,B
may,O
act,O
as,O
modifiers,B
as,O
well,O
as,O
referring,B
expressions,I
depending,O
on,O
the,O
syntactic,B
context,I
.,O
We,O
handle,O
this,O
with,O
a,O
single,O
lexical,B
entry,I
.,O
The,O
implementation,O
is,O
of,O
Norwegian,O
locatives,B
",",O
but,O
English,O
locatives,B
are,O
both,O
discussed,O
and,O
compared,O
to,O
Norwegian,O
locatives,B
.,O
The,O
semantic,B
analysis,I
is,O
based,O
on,O
a,O
proposal,O
by,O
Markus,O
Kracht,O
(,O
2OO2,O
),O
",",O
and,O
we,O
show,O
how,O
this,O
analysis,O
can,O
be,O
incorporated,O
into,O
Minimal,B
Recursion,I
Semantics,I
(,O
MRS,B
),O
(,O
Copestake,O
et,O
al,O
.,O
2OO5,O
),O
.,O
We,O
discuss,O
how,O
the,O
resulting,O
system,O
may,O
be,O
applied,O
in,O
a,O
transfer,B
based,I
machine,I
translation,I
system,I
",",O
and,O
how,O
we,O
can,O
map,B
from,O
a,O
shallow,O
MRS,B
representation,I
to,O
a,O
deeper,B
semantic,B
representation,I
.,O
This,O
article,O
describes,O
the,O
application,O
of,O
computational,B
models,I
of,O
spatial,B
prepositions,I
to,O
visually,B
situated,I
dialog,I
systems,I
.,O
In,O
these,O
dialogs,O
",",O
spatial,B
prepositions,I
are,O
important,O
because,O
people,O
often,O
use,O
them,O
to,O
refer,O
to,O
entities,B
in,O
the,O
visual,O
context,O
of,O
a,O
dialog,O
.,O
We,O
first,O
describe,O
a,O
generic,B
architecture,I
for,O
a,O
visually,B
situated,I
dialog,I
system,I
and,O
highlight,O
the,O
interactions,O
between,O
the,O
spatial,B
cognition,I
module,I
",",O
which,O
provides,O
the,O
interface,B
to,O
the,O
models,B
of,O
prepositional,B
semantics,I
",",O
and,O
the,O
other,O
components,O
in,O
the,O
architecture,B
.,O
Following,O
this,O
",",O
we,O
present,O
two,O
new,O
computational,B
models,I
of,O
topological,B
and,O
projective,B
spatial,I
prepositions,I
.,O
The,O
main,O
novelty,O
within,O
these,O
models,B
is,O
the,O
fact,O
that,O
they,O
account,O
for,O
the,O
contextual,B
effect,I
which,O
other,O
distractor,B
objects,I
in,O
a,O
visual,O
scene,O
can,O
have,O
on,O
the,O
region,O
described,O
by,O
a,O
given,O
preposition,B
.,O
We,O
next,O
present,O
psycholinguistic,B
tests,I
evaluating,O
our,O
approach,O
to,O
distractor,B
interference,I
on,O
prepositional,B
semantics,I
",",O
and,O
illustrate,O
how,O
these,O
models,B
are,O
used,O
for,O
both,O
interpretation,O
and,O
generation,B
of,O
prepositional,B
expressions,I
.,O
This,O
article,O
describes,O
a,O
framework,B
for,O
incorporating,O
referential,B
semantic,I
information,I
from,O
a,O
world,B
model,I
or,O
ontology,B
directly,O
into,O
a,O
probabilistic,B
language,I
model,I
of,O
the,O
sort,O
commonly,O
used,O
in,O
speech,B
recognition,I
",",O
where,O
it,O
can,O
be,O
probabilistically,B
weighted,I
together,O
with,O
phonological,B
and,O
syntactic,B
factors,I
as,O
an,O
integral,O
part,O
of,O
the,O
decoding,B
process,I
.,O
Introducing,O
world,B
model,I
referents,I
into,O
the,O
decoding,B
search,I
greatly,O
increases,O
the,O
search,B
space,I
",",O
but,O
by,O
using,O
a,O
single,O
integrated,O
phonological,B
",",O
syntactic,B
",",O
and,O
referential,B
semantic,I
language,I
model,I
",",O
the,O
decoder,B
is,O
able,O
to,O
incrementally,O
prune,B
this,O
search,O
based,O
on,O
probabilities,O
associated,O
with,O
these,O
combined,O
contexts,O
.,O
The,O
result,O
is,O
a,O
single,O
unified,O
referential,B
semantic,I
probability,I
model,I
which,O
brings,O
several,O
kinds,O
of,O
context,O
to,O
bear,O
in,O
speech,B
decoding,I
",",O
and,O
performs,O
accurate,O
recognition,B
in,O
real,O
time,O
on,O
large,O
domains,O
in,O
the,O
absence,O
of,O
example,O
in,B
domain,I
training,I
sentences,I
.,O
Many,O
approaches,O
to,O
automatic,B
sentiment,I
analysis,I
begin,O
with,O
a,O
large,O
lexicon,B
of,O
words,O
marked,O
with,O
their,O
prior,B
polarity,I
(,O
also,O
called,O
semantic,B
orientation,I
),O
.,O
However,O
",",O
the,O
contextual,B
polarity,I
of,O
the,O
phrase,O
in,O
which,O
a,O
particular,O
instance,B
of,O
a,O
word,O
appears,O
may,O
be,O
quite,O
different,O
from,O
the,O
word,O
's,O
prior,B
polarity,I
.,O
Positive,O
words,O
are,O
used,O
in,O
phrases,O
expressing,O
negative,O
sentiments,O
",",O
or,O
vice,O
versa,O
.,O
Also,O
",",O
quite,O
often,O
words,O
that,O
are,O
positive,O
or,O
negative,O
out,O
of,O
context,O
are,O
neutral,O
in,O
context,O
",",O
meaning,O
they,O
are,O
not,O
even,O
being,O
used,O
to,O
express,O
a,O
sentiment,O
.,O
The,O
goal,O
of,O
this,O
work,O
is,O
to,O
automatically,O
distinguish,O
between,O
